username,count,dates,range,mean
critic-22,57,"[2000, 2000, 2000, 2000, 2000, 1999, 2000, 2000, 2000, 2000, 2000, 2000, 1999, 2000, 2000, 2000, 2000, 2000, 2000, 1999, 2000, 2000, 1999, 2000, 2000, 2000, 1999, 2000, 2000, 2000, 2000, 2000, 1999, 2000, 2000, 2000, 2000, 2000, 2000, 1999, 1999, 2000, 2000, 2000, 2000, 1999, 2000, 1999, 2000, 2000, 2000, 1999]",1,1999
kuangzao,155,"[2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020]",0,2020
colewaters,80,"[2020, 2018, 2019, 2017, 2018, 2019, 2018, 2017, 2016, 2017, 2019, 2018, 2017, 2018, 2016, 2019, 2019, 2018, 2018, 2018, 2018, 2016, 2016, 2017, 2016, 2016, 2019, 2016, 2018, 2017, 2016, 2016, 2017, 2018, 2017, 2019, 2020, 2019, 2018, 2018, 2020, 2016, 2017, 2016, 2017, 2018, 2019, 2020, 2016, 2018, 2019, 2017, 2016, 2016, 2015, 2016, 2017, 2019, 2017, 2019, 2015, 2018, 2016, 2016, 2018, 2018, 2019, 2016, 2018, 2018, 2018, 2019, 2016, 2018, 2016, 2019, 2016]",5,2017
Sergeant_Tibbs,290,"[2014, 2013, 2014, 2013, 2009, 2014, 2015, 2013, 2008, 2015, 2015, 2014, 2013, 2015, 2013, 2015, 2013, 2015, 2013, 2013, 2014, 2013, 2008, 2014, 2014, 2013, 2014, 2013, 2013, 2013, 2010, 2014, 2008, 2013, 2014, 2013, 2015, 2013, 2015, 2007, 2013, 2014, 2014, 2013, 2014, 2013, 2014, 2014, 2013, 2015, 2014, 2013, 2014, 2014, 2014, 2015, 2014, 2013, 2015, 2014, 2015, 2015, 2013, 2013, 2013, 2013, 2014, 2012, 2015, 2015, 2014, 2014, 2013, 2013, 2015, 2013, 2013, 2013, 2013, 2014, 2013, 2013, 2014, 2013, 2013, 2013, 2008, 2008, 2015, 2013, 2013, 2007, 2015, 2015, 2013, 2013, 2015, 2008, 2013, 2013, 2013, 2014, 2013, 2013, 2014, 2013, 2013, 2013, 2010, 2013, 2014, 2015, 2015, 2014, 2013, 2013, 2015, 2014, 2013, 2013, 2014, 2013, 2013, 2014, 2015, 2014, 2013, 2014, 2013, 2014, 2013, 2014, 2008, 2013, 2013, 2014, 2007, 2015, 2013, 2013, 2014, 2014, 2013, 2013, 2013, 2014, 2015, 2013, 2014]",8,2013
dbborroughs,77,"[2007, 2009, 2008, 2005, 2007, 2008, 2007, 2007, 2009, 2008, 2004, 2004, 2009, 2008, 2007, 2009, 2007, 2008, 2008, 2011, 2008, 2008, 2006, 2006, 2009, 2006, 2006, 2006, 2008, 2007, 2005, 2004, 2008, 2005, 2004, 2008, 2005, 2009, 2005, 2004, 2004, 2009, 2009, 2009, 2008, 2004, 2007, 2009, 2007, 2005, 2008, 2008, 2004, 2008, 2007, 2005, 2009, 2008, 2009, 2010, 2004, 2007, 2007, 2004, 2006, 2009, 2004, 2007, 2008, 2006, 2004, 2004, 2004, 2004, 2008, 2004, 2007, 2005, 2010, 2007, 2009, 2004, 2009, 2006, 2008, 2010, 2009, 2011, 2008, 2009, 2010, 2008, 2005, 2008, 2004, 2010, 2004, 2004, 2009, 2008, 2009, 2007, 2005, 2006, 2009, 2008, 2004, 2006, 2009, 2008, 2009, 2009, 2006, 2006, 2004, 2008, 2009, 2009, 2008, 2004, 2009, 2007, 2005, 2004, 2008, 2009, 2007, 2009, 2007, 2010, 2012, 2009, 2008, 2007, 2004, 2004, 2007, 2008, 2008, 2005, 2006, 2009, 2004, 2008, 2004, 2010, 2010, 2007, 2005, 2009, 2009, 2004, 2007, 2004, 2004, 2009, 2004, 2005, 2008, 2008, 2008, 2008, 2004, 2008, 2006, 2007, 2004, 2011, 2005, 2006, 2009, 2009, 2005, 2004, 2007, 2004, 2006, 2005, 2004, 2010, 2007, 2007, 2008, 2006, 2009, 2006, 2008, 2009, 2005, 2007, 2007, 2007, 2008, 2009, 2007, 2007, 2008, 2008, 2005, 2006, 2009, 2007, 2007, 2009, 2004, 2008, 2009, 2004, 2009, 2004, 2005, 2009, 2009, 2008, 2005, 2010, 2007, 2009, 2008, 2004, 2008, 2006, 2009, 2010, 2009, 2004, 2008, 2008, 2008, 2005, 2009, 2007, 2006, 2009, 2009, 2007, 2009]",8,2007
andrewnmiller,64,"[2019, 2018, 2018, 2015, 2017, 2015, 2017, 2018, 2018, 2015, 2015, 2019, 2016, 2018, 2017, 2018, 2016, 2018, 2015, 2019, 2017, 2015, 2015, 2015, 2018, 2017, 2019, 2017, 2019, 2018, 2017, 2018, 2020, 2016, 2016, 2019, 2019, 2019, 2020, 2018, 2019, 2019, 2015, 2016, 2017, 2017, 2015, 2017, 2018, 2017, 2018, 2015, 2015, 2017, 2017, 2018, 2018, 2017, 2016]",5,2017
Figgy66-915-598470,126,"[2016, 2018, 2014, 2020, 2014, 2019, 2015, 2015, 2015, 2019, 2018, 2016, 2017, 2015, 2015, 2018, 2018, 2015, 2016, 2014, 2018, 2018, 2016, 2017, 2014, 2016, 2016, 2018, 2014, 2014, 2014, 2019, 2014, 2017, 2017, 2016, 2014, 2014, 2014, 2014, 2015, 2016, 2015, 2017, 2015, 2017, 2017, 2014, 2016, 2015, 2017, 2014, 2014, 2019, 2018, 2016, 2016, 2015, 2016, 2019, 2015, 2017, 2016, 2014, 2014, 2016, 2017, 2014, 2019, 2016, 2014, 2018, 2018, 2016, 2014, 2014, 2014, 2019, 2015, 2014, 2014, 2016, 2016, 2018, 2015, 2015, 2017, 2018, 2016, 2014, 2019]",6,2015
JohnRayPeterson,130,"[2011, 2013, 2012, 2011, 2017, 2011, 2011, 2012, 2011, 2011, 2011, 2015, 2011, 2013, 2011, 2011, 2015, 2013, 2011, 2020, 2011, 2018, 2011, 2011, 2012, 2013, 2015, 2020, 2019, 2011, 2020, 2013, 2013, 2011, 2012, 2013, 2019, 2012, 2011, 2012, 2012, 2011, 2012, 2011, 2013, 2019, 2012, 2011, 2012, 2013, 2012, 2011, 2013, 2016, 2011, 2011, 2012, 2011, 2012, 2012, 2012, 2012, 2011, 2012, 2019, 2011, 2011, 2011, 2011, 2011, 2011, 2012, 2012, 2011, 2011, 2011, 2011, 2013]",9,2012
begob,103,"[2014, 2014, 2017, 2015, 2014, 2016, 2016, 2015, 2014, 2015, 2014, 2014, 2015, 2015, 2015, 2017, 2016, 2014, 2014, 2016, 2014, 2015, 2017, 2015, 2020, 2020, 2015, 2015, 2014, 2016, 2017, 2014, 2014, 2014, 2014, 2015, 2015, 2015, 2014, 2014, 2017, 2017, 2014, 2020, 2016, 2015, 2015, 2014, 2015, 2017, 2014, 2016, 2017, 2015, 2015, 2017, 2015, 2015, 2015, 2015]",6,2015
Gresh854,71,"[2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2016, 2018, 2018, 2019, 2019, 2018, 2018, 2016, 2018, 2019, 2018, 2014, 2014, 2018, 2018, 2018, 2018, 2019, 2018, 2018, 2017, 2019, 2019, 2017, 2017, 2015, 2019, 2019, 2019, 2018, 2018, 2018, 2018, 2019, 2019, 2018, 2018, 2018, 2016, 2018, 2018, 2018, 2019, 2018, 2014, 2019, 2018, 2018, 2019, 2018, 2019, 2018, 2018, 2019, 2018, 2018]",5,2017
mm-39,64,"[2016, 2007, 2011, 2008, 2003, 2007, 2007, 2007, 2002, 2001, 2003, 2014, 2004, 2002, 2002, 2001, 2002, 2000, 2000, 2007, 2013, 2017, 2015, 2004, 2001, 2012, 2001, 2002, 2004, 2004, 2011, 2005, 2001, 2001, 2002, 2015, 2017, 2007, 2001, 2002, 2002, 2002, 2001, 2001, 2013, 2001, 2000, 2005, 2012, 2004, 2015, 2015, 2012, 2004, 2001, 2002, 2017, 2002, 2002, 2002, 2001, 2014, 2013, 2004, 2002, 2016, 2000, 2002, 2014, 2009, 2011, 2001, 2017, 2014, 2003, 2013, 2001, 2004, 2013, 2015, 1999, 2003, 2003, 2003, 2019, 2004, 2001, 2002, 2011, 2001, 2014, 2002, 2001, 2000, 2014, 2002, 2001, 2012, 2009, 2013, 2019, 2007, 2001, 2016, 2002, 2008, 2002, 2002, 2002, 2002, 2011, 2003, 2007, 2002, 2003, 2010, 2002, 2011, 2013, 2002, 2013, 2017, 2019, 2013, 2002, 2005, 2001, 2002, 2014, 2017, 2015, 2002, 2002, 2002, 2003, 2004, 2009, 2008, 2001, 2011, 2012, 2007, 2002, 2014, 2014, 2015, 2013, 2013, 2000, 2002, 2019, 2002, 2004, 2015, 2001, 2000, 2006, 2011, 2004, 2002, 2005, 2006, 2017, 2004, 2008, 2008, 2014, 2007, 2014, 2013, 2004, 2002, 2019, 2009, 1999, 2015, 2001, 2007, 2006, 2017, 2002, 2004, 2004, 2017, 2009, 2001, 2011, 2008, 2002, 2007, 2002, 2011, 2011, 2001, 2001, 2001, 2001, 2001, 2013, 2002, 2004, 2005, 2001, 2004, 2008, 2004, 2011, 2012, 2007, 2004, 2017, 2002, 2006, 2012, 2012, 2001, 2001, 2011, 2002, 2015, 2004, 2002, 2009, 2013, 2002, 2002, 2002, 2002, 2016, 2011, 2012, 2009, 2006, 2012, 2002, 2003, 2009, 2012, 2008, 2012, 2005, 2016, 1999, 2002, 2012, 2004, 2007, 2012, 2003, 2016, 2013, 2008, 2012, 2004, 2002, 2002, 2002, 2004, 2012, 2010, 2002, 2001, 2011, 2004, 2001, 2016, 2002, 2013, 2005, 2002, 2009, 2016, 2006, 2012, 2013, 2014, 2009, 2011, 2017, 2008, 2005, 2007, 2003, 2014, 2019, 2002, 2005, 2002, 2015, 2003, 2007, 2001, 2000, 2009, 2013, 2009, 2016, 2002, 2002, 2016, 2017, 2001, 1999, 2001, 2008, 2004, 2002, 1999, 2002, 2011, 2012, 2009, 2004, 2011, 2002, 2017, 2014, 2004, 2001, 1999, 2013, 2001, 2001, 2002, 2008, 2009, 2004, 2008, 2005, 2001, 2006, 2011, 2009, 2004, 2002, 2016, 2005, 2002, 2002, 2005, 2002, 2017, 2006, 2013, 2013]",20,2006
achyutaghosh,54,"[2020, 2012, 2014, 2018, 2018, 2017, 2013, 2018, 2012, 2018, 2014, 2017, 2014, 2013, 2013, 2013, 2014, 2014, 2013, 2014, 2014, 2011, 2013, 2017, 2017, 2017, 2012, 2013, 2011, 2012, 2014, 2013, 2013, 2012, 2011, 2014, 2011, 2012, 2017, 2013, 2015, 2017, 2011, 2014, 2012, 2012, 2012, 2012, 2013, 2012, 2012, 2013, 2012, 2013, 2012, 2013, 2014, 2019, 2014, 2018, 2013, 2017, 2013, 2012, 2011, 2017, 2013, 2014]",9,2013
PetarNeo,97,"[2020, 2016, 2018, 2016, 2016, 2016, 2016, 2016, 2017, 2017, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2017, 2016, 2016, 2017, 2019, 2016, 2017, 2020, 2017, 2017, 2016, 2016, 2020, 2016, 2016, 2016, 2016, 2017, 2017, 2020, 2016, 2017, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2017, 2019, 2018, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2017, 2016, 2018, 2016, 2016, 2016, 2016, 2016, 2016]",4,2016
SafReviews,50,"[2019, 2019, 2020, 2019, 2019, 2020, 2019, 2019, 2019, 2018, 2018, 2020, 2019, 2018, 2019, 2020, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2018, 2019, 2019, 2020, 2019, 2018, 2018, 2020, 2019, 2019, 2019, 2019, 2020, 2020, 2020, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2020, 2019, 2020, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2020, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2020, 2019, 2018, 2019]",2,2019
StevePulaski,70,"[2016, 2015, 2011, 2016, 2014, 2012, 2013, 2012, 2013, 2012, 2010, 2011, 2013, 2013, 2014, 2015, 2012, 2010, 2012, 2012, 2015, 2015, 2012, 2015, 2013, 2012, 2013, 2011, 2015, 2011, 2010, 2016, 2015, 2015, 2015, 2013, 2013, 2014, 2015, 2012, 2011, 2013, 2015, 2013, 2012, 2011, 2015, 2012, 2013, 2010, 2011, 2014, 2011, 2011, 2013, 2010, 2012, 2015, 2012, 2016, 2015, 2012, 2011, 2012, 2015, 2013, 2013, 2013, 2016, 2010, 2011, 2012, 2012, 2016, 2010, 2012, 2011, 2010, 2013, 2011, 2015, 2013, 2015, 2015, 2012, 2014, 2015, 2015, 2015, 2011, 2011, 2011, 2012, 2011, 2013, 2011, 2014, 2014, 2011, 2014, 2015, 2015, 2012, 2012, 2014, 2012, 2014, 2012, 2014, 2011, 2012, 2012, 2012, 2012, 2014, 2014, 2014, 2016, 2011, 2013, 2011, 2012, 2014, 2013, 2015, 2011, 2011, 2012, 2015, 2011, 2013, 2011, 2013, 2012, 2012, 2014, 2015, 2011, 2014, 2013, 2013, 2013, 2015, 2015, 2011, 2015, 2015, 2011, 2015, 2013, 2012, 2012, 2012, 2012, 2015, 2012, 2013, 2012, 2015, 2015, 2015, 2012, 2012, 2012, 2015, 2011, 2012, 2013, 2013, 2011, 2012, 2015, 2015, 2015, 2013, 2012, 2015, 2012, 2013, 2012, 2016, 2012, 2011, 2014, 2011, 2013, 2014, 2011, 2015, 2013, 2015, 2012, 2015, 2012, 2011, 2012, 2012, 2011, 2013, 2012, 2012, 2011, 2011, 2016, 2012, 2010, 2012, 2012, 2011, 2012, 2010, 2011, 2011, 2012, 2010, 2015, 2012, 2012, 2014, 2013, 2013, 2012, 2012, 2015, 2016, 2012, 2012, 2012, 2015, 2013, 2013, 2013, 2015, 2015, 2015, 2011, 2012, 2012, 2012, 2012, 2012, 2011, 2015, 2012, 2012, 2011, 2012, 2012, 2013, 2010, 2015, 2015, 2010, 2010, 2010, 2012, 2013, 2012, 2012, 2012, 2012, 2013, 2015, 2011, 2016, 2013, 2011, 2012, 2014, 2013, 2011, 2011, 2013, 2016, 2016, 2012, 2013, 2014, 2012, 2014, 2013, 2012, 2011, 2012, 2012, 2012, 2015, 2015, 2012, 2011, 2011, 2015, 2013, 2012, 2014, 2013, 2012, 2016, 2012, 2014, 2010, 2010, 2012, 2012, 2012, 2013, 2016, 2012, 2015, 2011, 2013, 2011, 2012, 2011, 2010, 2011, 2012, 2010, 2011, 2013, 2014, 2013, 2013, 2014, 2011, 2015, 2010, 2013, 2012, 2014, 2014, 2014, 2014, 2013, 2011, 2016]",6,2012
rainking_es,162,"[2006, 2006, 2006, 2005, 2006, 2006, 2006, 2007, 2005, 2004, 2005, 2006, 2006, 2006, 2006, 2006, 2007, 2004, 2005, 2006, 2004, 2005, 2005, 2005, 2006, 2006, 2008, 2005, 2005, 2005, 2005, 2005, 2006, 2007, 2005, 2004, 2005, 2007, 2005, 2006, 2005, 2004, 2005, 2005, 2005, 2006, 2008, 2004, 2006, 2005, 2007, 2005, 2005, 2008, 2006, 2006, 2006, 2006, 2006, 2005, 2005, 2006, 2005, 2005, 2005, 2006, 2007, 2006, 2006, 2004, 2006, 2006, 2005]",4,2005
Monotreme02,145,"[2010, 2007, 2007, 2009, 2007, 2007, 2007, 2009, 2005, 2007, 2006, 2008, 2009, 2005, 2006, 2005, 2005, 2009, 2007, 2008, 2008, 2007, 2005, 2007, 2005, 2008, 2009, 2008, 2009, 2008, 2009, 2008, 2008, 2007, 2006, 2008, 2007, 2007, 2007, 2007, 2009, 2010, 2005, 2009, 2005, 2007, 2009, 2005, 2017, 2008, 2008, 2007, 2009, 2008, 2006, 2010, 2006, 2008, 2010, 2005, 2005, 2007, 2007, 2009, 2010, 2010, 2009, 2008, 2007, 2009, 2008, 2005, 2009, 2010, 2008, 2008, 2005, 2009, 2007]",12,2007
AirBourne_Bds,240,"[2007, 2004, 2004, 2005, 2016, 2004, 2004, 2006, 2006, 2005, 2004, 2004, 2007, 2005, 2007, 2008, 2007, 2005, 2004, 2004, 2004, 2006, 2012, 2010, 2008, 2013, 2004, 2006, 2005, 2005, 2004, 2006, 2007, 2006, 2010, 2004, 2007, 2004, 2007, 2005, 2008, 2008, 2004, 2005, 2008, 2007, 2005, 2007, 2004, 2004, 2006, 2009, 2009, 2006]",12,2006
aram81,90,"[2020, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2020, 2019, 2019, 2019, 2019, 2019, 2020, 2020, 2019, 2020, 2019, 2019, 2019, 2019, 2020, 2020, 2019, 2020, 2019, 2020, 2020, 2019, 2019, 2020, 2020, 2020, 2020, 2020, 2019, 2020, 2020, 2019, 2020, 2019, 2019, 2019, 2019, 2019, 2019, 2020, 2019, 2020, 2019, 2019, 2019, 2019, 2020, 2020, 2020, 2019, 2020, 2020, 2019, 2019, 2020, 2019, 2020, 2020, 2019, 2019, 2020, 2020, 2019, 2020, 2020]",1,2019
dwpollar,88,"[2004, 2001, 2001, 2009, 2001, 2002, 2001, 2001, 2001, 2014, 2001, 2009, 2009, 2014, 2010, 2001, 2001, 2002, 2008, 2008, 2001, 2003, 2006, 2007, 2001, 2001, 2007, 2009, 2009, 2001, 2002, 2020, 2009, 2002, 2009, 2007, 2001, 2011, 2001, 2003, 2010, 2010, 2001, 2001, 2014, 2001, 2008, 2001, 2014, 2014, 2001, 2009, 2001, 2011, 2009, 2009, 2004, 2020, 2001, 2002, 2020, 2012, 2001, 2001, 2001, 2013, 2001, 2001, 2003, 2001, 2013, 2001, 2001, 2008, 2013, 2007, 2001, 2001, 2007, 2006, 2010, 2009, 2009, 2001, 2008, 2002, 2001, 2001, 2011, 2001, 2002, 2002, 2014, 2009, 2003, 2001, 2003, 2005, 2001, 2008, 2009, 2001, 2002, 2001, 2007, 2007, 2003, 2008, 2009, 2009, 2001, 2001, 2013, 2001, 2014, 2009, 2009, 2001, 2003, 2001, 2001, 2007, 2001, 2001, 2003, 2002, 2002, 2001, 2002, 2007, 2013, 2001, 2003, 2009, 2006, 2009, 2001, 2001, 2009, 2009]",19,2005
theinaniloquent,163,"[2011, 2012, 2012, 2011, 2011, 2011, 2012, 2012, 2012, 2012, 2012, 2011, 2012, 2011, 2012, 2011, 2012, 2011, 2012, 2012, 2012, 2011, 2011, 2011, 2012, 2012, 2011, 2011, 2012, 2011, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2011, 2012, 2012, 2012, 2011, 2011, 2011, 2011, 2012, 2012, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2012, 2012, 2011, 2011, 2012, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2012, 2011, 2011, 2011, 2012, 2011, 2012, 2012, 2012, 2011, 2012, 2011, 2012, 2011, 2011, 2012, 2012, 2011, 2012, 2011, 2012, 2011, 2011, 2012, 2011, 2011, 2012, 2012, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2012, 2011, 2012, 2012, 2012, 2012, 2011, 2011, 2011, 2012, 2011, 2011, 2011]",1,2011
Philby-3,54,"[2002, 2008, 2010, 2000, 2000, 2008, 1999, 2000, 2001, 2001, 2002, 2008, 2010, 2000, 2000, 2011, 2001, 2006, 2008, 2006, 2006, 2003, 2005, 2006, 2005, 2005, 2006, 2011, 2001, 1999, 1998, 2000, 2004, 1999, 2008, 2009, 2004, 2000, 2005, 2001, 2009, 2002, 2007, 2010, 2009, 2006, 2002, 2009, 2008, 2007, 2006, 2000, 2004, 2004, 2006, 2001, 2011, 2009, 2005, 2002, 2009, 2001, 2002, 2004, 2007, 1999, 2007, 2007, 2005, 2008, 2009, 2009, 1999, 2008, 2012, 2005, 2009, 2004, 2009, 2003, 2010, 2004, 2007, 2007, 2000, 2010, 2007, 2007, 2004, 1999, 2000, 2006, 2007, 2009, 1999, 2008, 2007, 1999, 2011, 1999, 2011, 2006, 2006, 2011, 2008, 2001, 2010, 2009, 2007]",14,2005
fntstcplnt,54,"[2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2019, 2019, 2019, 2020, 2019, 2020, 2020, 2020, 2020, 2019, 2019, 2020, 2019, 2019, 2019, 2019, 2020, 2019, 2019, 2019, 2019, 2019, 2019, 2020, 2019, 2019, 2020, 2020, 2019, 2019, 2020, 2019, 2020, 2020, 2020, 2019, 2019, 2020, 2019, 2019, 2020, 2019, 2020, 2020, 2019, 2019, 2019, 2019, 2020, 2020, 2020, 2019, 2020, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2020, 2019, 2019, 2020, 2020, 2019, 2020, 2019, 2019, 2020, 2020, 2020, 2019, 2020, 2020, 2019, 2020, 2020, 2020, 2020, 2019, 2020, 2020, 2019, 2019, 2020, 2020, 2019, 2019, 2020, 2020]",1,2019
SeminolePhenom,195,"[2005, 2005, 2005, 2005, 2005, 2005, 2006, 2005, 2005, 2005, 2006, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2006, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2006, 2005, 2005, 2005, 2006, 2005, 2005, 2005, 2006, 2005, 2005]",1,2005
callanvass,114,"[2006, 2013, 2005, 2010, 2004, 2013, 2010, 2004, 2007, 2010, 2011, 2010, 2005, 2006, 2005, 2010, 2006, 2005, 2005, 2010, 2010, 2015, 2018, 2010, 2014, 2005, 2005, 2005, 2005, 2015, 2010, 2009, 2003, 2005, 2004, 2009, 2004, 2010, 2014, 2015, 2014, 2004, 2014, 2014, 2005, 2006, 2005, 2011, 2013, 2013, 2005, 2010, 2015, 2004, 2005, 2010, 2007, 2015, 2016, 2010, 2005, 2013, 2014, 2003, 2010, 2005, 2015, 2005, 2015, 2005, 2013, 2006, 2005, 2005, 2014, 2014, 2010, 2010, 2013, 2010, 2003, 2010, 2015, 2013, 2004, 2015, 2005, 2014, 2013, 2006, 2010, 2011, 2010, 2010, 2006, 2004, 2006, 2013, 2013, 2011, 2010, 2006, 2004, 2010, 2005, 2005, 2010, 2006, 2014, 2014, 2006, 2014, 2010, 2013, 2010, 2013, 2010, 2006, 2015, 2014, 2005, 2014, 2005, 2005, 2005, 2010, 2015, 2004, 2014, 2014, 2010, 2014, 2005, 2006, 2005, 2005, 2013, 2005, 2006, 2009, 2009, 2010, 2010, 2005, 2004, 2014, 2014, 2013, 2013, 2013, 2004, 2009, 2005, 2013, 2014, 2010, 2006, 2015, 2004, 2011, 2014, 2010, 2006, 2013, 2010, 2005, 2010, 2013, 2004, 2004, 2004, 2013, 2004, 2010, 2010, 2010, 2013, 2004, 2003, 2003, 2004, 2010, 2004, 2007, 2011, 2013, 2005, 2013, 2013, 2004, 2010, 2015, 2004, 2003, 2010, 2007, 2015, 2013, 2015, 2005, 2010, 2006, 2013, 2009, 2005, 2006, 2005, 2005, 2014, 2005, 2005, 2010, 2011, 2005, 2011, 2010, 2013, 2013, 2013, 2010, 2005, 2015, 2006, 2015, 2009, 2010, 2009, 2016, 2005, 2005, 2005, 2014, 2005, 2005, 2013, 2003, 2010, 2013, 2006, 2005, 2013, 2011, 2005, 2005, 2010, 2004, 2013, 2014, 2013, 2010, 2010, 2014, 2006, 2013, 2006, 2010, 2005, 2010, 2014, 2010, 2010, 2013, 2010, 2006, 2013, 2005, 2010, 2014, 2005, 2013, 2006, 2013, 2014, 2014, 2014, 2014, 2014, 2014, 2010]",15,2009
martinrobertson300482,53,"[2014, 2020, 2012, 2014, 2019, 2013, 2019, 2012, 2011, 2014, 2019, 2013, 2011, 2013, 2011, 2014, 2013, 2013, 2014, 2014, 2014, 2012, 2013, 2014, 2014, 2011, 2013, 2013, 2019, 2013, 2019, 2019, 2013, 2014, 2012, 2013, 2013, 2012, 2012, 2014, 2014, 2013, 2019, 2013, 2011, 2013, 2012, 2012, 2011, 2012, 2012, 2012, 2019, 2013, 2019, 2011, 2012, 2012, 2011, 2014, 2012, 2012, 2012, 2013, 2012, 2014, 2012, 2012, 2013, 2013, 2014, 2013, 2011, 2019, 2011, 2011, 2013, 2014, 2011]",9,2013
slightlymad22,214,"[2020, 2018, 2018, 2014, 2015, 2014, 2017, 2018, 2019, 2016, 2018, 2017, 2015, 2018, 2019, 2016, 2015, 2014, 2019, 2019, 2019, 2015, 2016, 2018, 2018, 2019, 2014, 2020, 2018, 2015, 2017, 2017, 2016, 2014, 2019, 2019, 2014, 2019, 2007, 2018, 2014, 2017, 2015, 2014, 2014, 2016, 2015, 2019, 2017, 2018, 2016, 2018, 2017, 2015, 2014, 2014, 2015, 2019, 2019, 2018, 2016, 2018, 2016, 2018, 2018, 2017, 2018, 2017, 2015, 2014, 2018, 2014, 2018, 2016, 2019, 2014, 2014, 2018, 2015, 2014, 2007, 2017, 2015, 2014, 2015, 2016, 2019, 2019, 2019, 2017, 2019, 2017, 2016, 2017, 2014, 2015, 2014, 2019, 2017, 2014, 2014, 2014, 2017, 2014, 2019, 2014, 2017, 2019, 2019, 2019, 2017, 2019, 2017, 2016, 2020, 2019, 2018, 2015, 2015, 2017, 2019, 2019, 2019, 2014, 2015, 2019, 2014, 2016, 2016, 2017, 2019, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2018, 2018, 2015, 2016, 2020, 2018, 2018, 2018, 2018, 2018, 2014, 2018, 2017, 2016, 2019, 2014, 2019, 2014, 2018, 2019, 2007, 2015, 2007, 2007, 2016, 2015, 2017, 2018, 2018, 2018, 2018, 2017, 2018, 2015, 2015, 2015, 2015, 2019, 2016, 2016, 2016, 2014, 2014, 2014, 2014, 2019, 2017, 2014, 2014, 2019, 2014, 2014, 2016, 2014, 2016, 2017, 2014, 2014, 2014, 2014, 2015, 2019, 2014, 2015, 2014, 2015, 2015, 2019, 2018, 2019, 2016, 2019, 2014, 2017, 2017, 2019, 2018, 2017, 2015, 2015, 2017, 2019, 2017, 2017, 2015, 2016, 2015, 2016, 2015, 2016, 2019, 2019, 2016, 2014, 2014, 2014, 2019, 2017, 2017, 2017, 2014, 2017, 2015, 2015, 2014, 2015, 2015, 2014, 2017, 2019, 2014, 2014, 2019, 2019, 2014, 2019, 2014, 2019, 2014, 2019, 2015]",13,2016
