username,count,range,mean_year
Thanos_Karagioras,117,2467,2015
gelman@attglobal.net,93,3410,2007
lediscipledessocrates,50,4322,2012
bobsgrock,158,3221,2009
DKosty123,279,5560,2010
bradeybonnell,50,431,2019
rbrb,80,7163,2010
Angry_Arguer,192,1009,2003
whpratt1,98,1968,2005
robfollower,76,1025,2019
ryan_kuhn,82,735,2005
FlashCallahan,372,3591,2013
sstrunks-05245,112,291,2019
Darth_Osmosis,130,2841,2017
schroeder-gustavo,86,440,2015
GiraffeDoor,217,501,2019
squirrel_burst,57,192,2014
x-54313,58,77,2020
marcus_stokes2000,56,733,2006
taylorkingston,85,2138,2014
ayoreinf,61,4384,2014
EvLauster,62,856,2005
rubenm,55,5591,2014
sam_smithreview,70,681,2016
Jerghal,58,1181,2014
thinker1691,193,3966,2009
Reno-Rangan,136,2933,2015
davidgee,115,3557,2014
gavin-thelordofthefu-48-460297,77,3248,2013
Alanjackd,77,1795,2016
waynegavin1,59,168,2020
cdjh-81125,123,1398,2016
fmwongmd,60,707,2019
Philby-3,109,4892,2005
Marc_Israel_365,159,3542,2013
Cineanalyst,80,5793,2018
khanbaliq2,194,3729,2010
brankovranjkovic,90,1263,2017
lagriff05,60,802,2007
moviemattb,50,1626,2014
Mnemosyne15,89,22,2020
dromasca,297,7348,2009
dvc5159,94,4199,2010
southdavid,75,899,2018
tributarystu,52,4775,2004
skepticskeptical,55,3836,2016
jamesrupert2014,112,1496,2018
writers_reign,205,5928,2011
Bruce722,95,1343,2013
PersianPlaya408,118,2297,2006
kjproulx,57,997,2018
preppy-3,311,7369,2007
CrassActionHero,66,1484,2006
vishaal811,52,126,2015
wisemantonofski,59,337,2019
Sandcooler,104,3828,2010
sakram,53,956,2017
tinovalkki,65,1751,2015
punchp,121,438,2019
rparham,74,3667,2007
mstomaso,94,4775,2006
raulfaust,130,1878,2012
Maniac-9,107,5572,2010
cinematic_aficionado,92,4777,2008
drawlife,60,1969,2015
judywalker2,151,5771,2010
Woodyanders,50,4993,2013
FilmCriticLalitRao,58,2982,2009
matlefebvre20,58,1321,2006
MaximumMadness,149,5355,2014
quincytheodore,66,1434,2014
TheMovieDiorama,332,1424,2018
policy134,91,4077,2008
AvidClimber,121,222,2012
lisafordeay,216,3564,2015
MrPupkin,111,198,2019
dead47548,103,590,2007
Jeremy_Urquhart,50,3337,2018
pennyelenabooks,107,2714,2015
barnabyrudge,97,4160,2006
oOoBarracuda,101,771,2016
TheNabOwnzz,52,671,2018
napierslogs,72,2381,2011
SeminolePhenom,60,256,2005
mgruebel,81,3024,2015
Hellmant,335,2922,2013
manendra-lodhi,85,388,2012
Majikat76,80,938,2018
brenttraft,78,4173,2005
noralee,153,1230,2004
Danusha_Goska,161,5854,2009
jaybob,143,3827,2007
OMTR,55,1056,2019
drystyx,91,5034,2010
estreet-eva,107,2420,2013
Chris_Docker,188,6002,2004
jon.h.ochiai,234,6843,2009
Seraphion,225,946,2014
ShootingShark,175,3722,2008
Monotreme02,79,4444,2007
joshuadrake-39480,68,175,2015
J_Batek_II,84,450,2019
disdressed12,326,3660,2008
FairlyAnonymous,73,2892,2013
FilmFanInTheHouse,137,995,2007
vistheindian,50,651,2014
dierregi,94,4883,2015
philthegreatone-786-63058,72,3637,2014
cultfilmfreaksdotcom,99,2461,2013
Rich B,82,2290,2002
educallejero,172,701,2018
japamo,54,5362,2012
joelwatchesmovies,64,695,2018
grahamsj3,119,4923,2003
Gideon24,52,1209,2014
billygoat1071,138,1845,2013
dy158,61,3515,2008
utgard14,120,2349,2014
arfdawg-1,70,3624,2016
chrichtonsworld,54,4154,2008
MihaiSorinToma,154,1063,2017
abouhelier-r,79,1141,2014
joebloggscity,120,5433,2013
Richie-67-485852,83,3167,2016
departed07,140,2278,2006
lastliberal,321,2076,2007
SKG-2,77,531,1999
CinematicInceptions,201,1575,2016
afonsobritofalves,75,266,2018
basilisksamuk,54,3400,2012
dunmore_ego,232,3615,2008
sddavis63,387,7142,2009
eric262003,160,4184,2013
LivingDog,69,2669,2005
barbagvido,53,819,2016
charchuk,133,1417,2006
fil-nik09,53,1818,2016
DarkVulcan29,290,5461,2012
edwagreen,331,4636,2010
aminifatimaaa,50,202,2018
ebiros2,92,4523,2009
bsinc,87,2126,2003
Sleepin_Dragon,65,1700,2017
lark40,172,2619,2016
pere-25366,57,1288,2017
Michael Kenmore,59,7763,2007
valadas,192,7075,2010
thebricks,56,1038,2018
MikesIDhasbeentaken,56,3138,2015
MichaelMRamey,89,594,2018
JoeKarlosi,86,4047,2007
Geeky Randy,149,5530,2012
Tweetienator,170,1609,2018
jtindahouse,191,5780,2015
winner55,60,3238,2007
Samiam3,155,3932,2011
RainDogJr,143,2245,2009
BroadswordCallinDannyBoy,114,2266,2006
billcr12,204,4382,2013
chrisbrown6453,93,697,2001
statuskuo,67,2457,2016
Semisonic,75,2009,2016
mhasheider,66,2328,2001
Badmoviessuck,55,243,2018
Rickting,151,2208,2014
claudonio,61,931,2000
leplatypus,260,5566,2011
Pumpkin_Man,102,4019,2011
willcundallreview,125,678,2014
Dan1863Sickles,73,5967,2013
emperor_bender,97,684,2008
Spike-Washington,109,1358,2017
jts0405,57,1342,2007
jawneyfloros,73,110,2018
dineshaishu,54,94,2019
Tyson14,60,648,2014
cruise01,110,1287,2018
oscaralbert,133,2143,2016
Jonny_Numb,135,3010,2006
tadpole-596-918256,53,2553,2014
BA_Harrison,385,5262,2012
PyroSikTh,94,4060,2016
Cocacolaguy912-2,69,1528,2006
ssvikas,55,4217,2009
sreeragmeppadath,60,323,2018
acedj,86,524,2019
Bogmeister,50,663,2005
bkrauser-81-311064,164,2325,2015
danielharden,54,629,2016
adrongardner,84,6455,2010
breakdownthatfilm-blogspot-com,125,2821,2014
cinephile-27690,67,718,2018
eberkerbatur,69,693,2018
Scars_Remain,57,633,2007
kriscot-48548,52,13,2019
insomniac_rod,156,4036,2008
lewiskendell,201,3426,2010
JoshtheGiant,72,1181,2005
native_girl333,52,2034,2007
tjgoalie13,53,556,2015
carlos37andre,66,1625,2018
questl-18592,115,261,2019
0w0,58,304,2019
dallasryan,50,2921,2014
pc95,190,4991,2010
iguth,70,54,2019
Rammstein-2,94,647,2000
Thats_some_scary_stuff_Reviews,97,636,2008
moviemanMA,117,4075,2007
colonel_green,63,2032,2005
zetes,317,6245,2007
gsygsy,75,6137,2012
lojitsu,51,2829,2017
Theo Robertson,368,5731,2008
youthandyoungmanhood,68,480,2018
RossRivero99,158,1950,2014
iquine,157,1125,2018
refresh_daemon,65,1064,2007
peterdeluca-14183,55,180,2019
t-viktor212,74,1805,2015
virindra,61,4510,2011
phd_travel,267,3711,2013
Doylenf,215,4316,2005
TheHoodOfSwords,83,328,2019
Hey_Sweden,166,3162,2014
cultfilmfan,163,5146,2009
Gubby-Allen,71,7231,2004
sbweightman,96,555,2018
bevo-13678,290,95,2020
DareDevilKid,80,2653,2014
TalesfromTheCryptfan,68,5090,2008
monstermayhem32,88,4389,2014
Floated2,348,4263,2015
pokemon_trainer_lucas,55,397,2018
achyutaghosh,68,2985,2013
gregsrants,113,4922,2006
InlyCii,88,57,2020
zlx_zjlq,102,56,2020
Rob_Taylor,133,5635,2008
vincentlynch-moonoi,52,2071,2013
colewaters,77,1591,2017
Jonathon_Natsis,70,2202,2011
dr_foreman,72,3144,2004
r96sk,56,201,2019
RussHog,64,1237,2018
kenandraf,76,987,2001
FrankBooth_DeLarge,54,264,2004
blanche-2,269,7288,2010
Chuck-149,56,240,1999
galahad58-1,70,4072,2013
diac228,168,4944,2010
TheSquiss,109,962,2013
tnrcooper,61,4047,2008
bowmanblue,350,2178,2015
eshwarmail,88,2340,2014
MissSimonetta,76,2669,2016
agmoldham,280,6112,2009
moutonbear25,67,1189,2007
jcbutthead86,73,1417,2013
thebrandedswordsman-34028,72,212,2019
alcantaraj-16594,89,707,2018
arthurclay,62,1381,2005
mnpollio,60,4795,2010
redkiwi,94,2134,2001
Petey-10,152,6795,2005
antoniotierno,152,5758,2008
minister_of_silly_walks,65,496,2018
cherold,308,7834,2012
I_Am_The_Taylrus,56,803,2006
RatedVforVinny,99,4631,2019
digitalbeachbum,124,4467,2016
galileo3,145,2729,2007
Antagonisten,109,6484,2006
antagonist117,55,600,2013
TheHande,67,1356,2006
jaemiewaters,97,1596,2012
garethcrook,57,750,2018
malmsteneino,110,216,2019
rbverhoef,88,2236,2003
bix171,82,5133,2006
bombersflyup,77,848,2018
Equalizer16,59,1397,2016
pyrocitor,228,5038,2010
suri_ramneek-2,82,699,2018
OttoVonB,85,6389,2007
C22Man,69,994,2015
DonFishies,162,3273,2007
Ric-7,54,5450,2007
domino1003,54,2451,2005
LeonardKniffel,68,2256,2019
deatman9,171,660,2011
ajs-10,136,804,2010
f-57307,113,53,2020
majikstl,61,3353,2005
nicholls905-280-546911,116,386,2019
fjhuerta-2,87,7305,2004
christian123,55,987,2005
martinrobertson300482,79,3162,2013
Edvis-1997,54,798,2018
austin0731,88,1394,2017
Andy-296,52,3118,2010
RJBurke1942,58,4939,2009
morrison-dylan-fan,149,5402,2014
leonblackwood,214,2475,2015
petarmatic,147,1327,2014
richard-1787,59,4305,2014
CelluRob,50,182,2019
strike-1995,76,697,2018
tbills2,117,3444,2015
SAMTHEBESTEST,52,1916,2018
tdrish,90,1323,2019
vip_ebriega,158,1221,2008
davidmvining,113,230,2019
ryanskywalker-87402,63,147,2017
dockerykelli,106,64,2019
st-shot,107,4775,2012
jessegehrig,68,2537,2014
SafReviews,78,594,2019
stevendbeard,202,4800,2015
Marwan-Bob,59,1093,2018
MaxBorg89,219,2538,2007
j-lacerra,56,5355,2009
mark.waltz,88,6172,2015
Deckard-16,56,5445,2005
ptb-8,58,4020,2009
christophe92300,107,774,2013
MovieZoo,52,1855,2007
jaddison383,58,1413,2007
matej-trkanjec-133-920386,52,3049,2014
MattyAndAnnika,86,2082,2015
bhernandez2216,83,563,2018
sergelamarche,63,904,2018
nickmesafilms,153,656,2011
elshikh4,151,4344,2009
RhapsodyReviews,52,309,2019
The_Movie_Cat,91,7638,2002
CineMuseFilms,52,1469,2017
Quicksand,58,4241,2002
paul2001sw-1,251,6412,2009
BeneCumb,155,2790,2013
rivertam26,96,5086,2014
yashrajs536,89,1679,2015
Pukeonthestreet,70,18,2020
Enchorde,181,5751,2009
Jay_Exiomo,79,1853,2007
dj_xand325,51,1342,2007
gigan-92,165,3059,2010
axismladen,53,1243,2009
ThomasDrufke,366,2567,2016
Wisesoldierthe6,78,559,2019
saadanathan,90,100,2020
thekarmicnomad,69,4854,2014
scb_coldsteel,53,390,2018
eminkl,51,234,2019
seaview1,93,4193,2008
wwe7961,77,136,2010
Steffi_P,98,2061,2010
Angeneer,86,3913,2002
Turfseer,222,4623,2013
brianberta,90,1887,2015
h-28658,107,116,2020
moviewizguy,262,4044,2008
burlesonjesse5,104,2081,2015
SMLA11,78,47,2002
Treyroo,50,184,2012
a_chinn,69,1116,2017
mentalcritic,122,5576,2003
stamper,127,5620,2002
stonedraim,57,526,2016
sme_no_densetsu,286,4429,2011
socratesadamo,59,487,2019
hitchcockthelegend,390,4491,2011
popculturethoughts,95,197,2018
CinemaSerf,91,250,2019
apararas,60,462,2019
MOscarbradley,139,6463,2010
andrewroy-04316,115,909,2018
joshuadrake-91275,69,99,2015
tonypeacock-1,63,1919,2019
shadowman123,71,1335,2006
Tss5078,134,2722,2014
bob-rutzel-1,188,2785,2010
imseeg,196,886,2018
ArchonCinemaReviews,73,598,2014
Bored_Dragon,329,1359,2017
EmmettvanHalm,56,445,2019
mirosuionitsaki2,52,1809,2008
mike48128,93,4108,2015
dbdumonteil,129,3794,2004
Figgy66-915-598470,91,2165,2015
Maleplatypus,79,3105,2014
the-movie-guy,109,2703,2005
JohnRayPeterson,78,3238,2012
oneguyrambling,147,546,2010
moviewiz-4,62,7307,2004
Jackpollins,58,933,2009
Dragonsouls,106,6542,2009
gangstahippie,97,3295,2007
lambiepie-2,116,6318,2006
buiger,73,5251,2009
johnmschofield,58,1308,2009
RforFilm,150,2086,2016
vostf,68,7040,2010
TdSmth5,90,5557,2013
hoxjennifer,54,1067,2014
lagudafuad,143,1910,2012
JakeBrinkman,71,417,2018
proud_luddite,112,900,2018
Amyth47,163,670,2018
joestank15,81,1910,2007
johnnyboyz,376,7148,2010
anselmdaniel,104,854,2018
Pooooh,66,51,2020
ironhorse_iv,376,2885,2014
Endless_01,53,1181,2018
KnightsofNi11,152,1827,2011
gavinp9,106,761,2018
bgar-80932,62,934,2018
howard.schumann,166,6327,2010
peefyn,60,793,2015
srdjan_veljkovic,50,1588,2016
drqshadow-reviews,333,3252,2014
eddie_baggins,230,2486,2016
bkoganbing,355,5452,2011
funkyfry,141,6227,2006
StevePulaski,336,2092,2012
Rainey-Dawn,138,2162,2014
The_Core,67,2599,2001
juneebuggy,210,2110,2015
LoneWolfAndCub,101,4493,2007
kunalkhandwala,83,3778,2012
invisibleunicornninja,195,666,2018
AbhiMathews,55,2477,2013
ClaytonDavis,127,4419,2010
MartianOctocretr5,96,3576,2008
MBunge,86,1407,2010
zhyarTheChosen,200,228,2019
The-Sarkologist,369,3259,2014
DICK STEEL,354,3090,2008
badajoz-1,85,2669,2011
blumdeluxe,66,1214,2017
Bob-45,78,5968,2004
valleyjohn,122,4261,2013
JoeB131,87,5327,2010
joachimokeefe,65,6590,2013
henry8-3,65,7691,2018
rossrobinson,53,431,2003
Angelus2,136,2043,2008
Bob Pr.,58,6545,2007
heisenberg12,88,1825,2017
SonicStuart,58,1810,2004
classicalsteve,128,4444,2012
JaydoDre,76,4187,2014
smakawhat,64,5303,2001
nicholls_les,58,4100,2015
rockman182,89,4572,2017
jose-cruz53,93,116,2012
eagandersongil,128,1276,2017
AudioFileZ,92,4787,2013
DJAkin,176,5830,2005
allanmichael30,55,722,2019
FilmOtaku,124,2269,2004
davideo-2,396,7512,2008
kuangzao,102,57,2020
vithiet,193,550,2018
Ed-Shullivan,54,2419,2017
russem31,80,294,2005
LebowskiT1000,91,2432,2001
Argemaluco,122,4019,2009
intelearts,107,3929,2009
DarthVoorhees,127,5519,2010
werefox08,89,1161,2012
Anurag-Shetty,172,2908,2015
SimonJack,80,4089,2016
deloudelouvain,170,1917,2017
DavidSim240183,103,3586,2006
ExpendableMan,64,4421,2007
PIST-OFF,78,7133,2002
sterlinrivera-2000,67,383,2019
mr_bickle_the_pickle,55,2758,2017
subxerogravity,127,1898,2016
RichardSRussell-1,52,3254,2010
rannynm,109,3088,2014
johnstonjames,56,1449,2010
rachelrose-87356,198,6,2019
brchthethird,144,899,2014
johnnymacbest,76,3850,2009
matthewssilverhammer,262,2416,2017
jldmp1,62,5207,2006
bopdog,85,7091,2004
jamiedarlow-37510,57,135,2020
freshclean-66-318608,54,1895,2015
sandnair87,94,401,2015
Ozzy2000,59,4452,2008
sauravjoshi85,216,570,2019
billion_mucks,71,3754,2007
MGPT80,66,246,2019
Superunknovvn,108,3870,2006
len-21,57,3293,2001
jadavix,59,1656,2017
swilliky,163,922,2016
DeeNine-2,97,6702,2003
michaeltrivedi,174,933,2019
moviesleuth2,109,1577,2009
MichaelMargetis,101,1001,2005
headly66,53,4115,2011
Stampsfightclub,245,2372,2008
Eumenides_0,60,2971,2009
Cosmoeticadotcom,72,1384,2008
mitchell5954,53,2456,2018
mitsubishizero,55,561,2018
braddugg,123,1771,2014
p-stepien,101,3307,2011
roedyg,62,4481,2011
Pavel-8,73,1774,2004
powermandan,116,2930,2015
Dockelektro,73,1672,2001
natashabowiepinky,63,868,2013
Danny_G13,84,6508,2005
jackasstrange,85,269,2013
g-96059,73,55,2020
kyle-cruse,81,342,2008
aidanratesmovies,88,468,2019
PredragReviews,73,383,2016
stevetseitz,53,3500,2004
adamscastlevania2,101,449,2014
begob,60,2132,2015
RevRonster,73,775,2014
emfern13,61,536,2002
aram81,73,372,2019
iohefy-2,97,2647,2003
bbewnylorac,82,2807,2015
gazzo-2,204,3939,2002
nairtejas,167,2730,2014
moonspinner55,356,7018,2008
aesgaard41,71,5835,2006
quinimdb,53,639,2016
jackgdemoss,60,719,2018
thesouthfamily2-552-707097,76,958,2014
CANpatbuck3664,88,1473,2017
Meven_Stoffat,80,2974,2010
lasttimeisaw,277,4801,2014
JamesHitchcock,263,5970,2010
Calicodreamin,63,383,2019
blackburnj-1,69,2254,2007
studioAT,172,3623,2014
dworldeater,58,2885,2017
Didier-Becu,50,991,2003
aharmas,297,5379,2010
PetarNeo,82,1293,2016
shakercoola,66,547,2018
ozjeppe,50,3543,2007
Elswet,214,3351,2005
bryanbezter,69,67,2020
abcvision,65,2309,2014
ghostfiendghost,102,725,2019
saraccan,50,785,2018
gary-444,102,5123,2009
Aly200,82,2645,2014
OriginalMovieBuff21,188,911,2004
p-jonsson,81,2789,2015
shiguangmimi,73,58,2020
I_Love_Spielberg,55,805,2008
Carycomic,90,6150,2010
tavm,290,5059,2012
kurciasbezdalas,50,196,2008
PatrynXX,103,7841,2003
Sherazade,76,4286,2009
donaldricco,56,1177,2018
Captain_Couth,69,4299,2005
bob-the-movie-man,128,2224,2016
masonsaul,152,563,2019
framptonhollis,58,955,2016
gbheron,92,1958,2001
Vivekmaru45,99,3289,2013
barberoux,62,5564,2003
cleary-joshua,59,607,2013
KUAlum26,156,2336,2006
seawalker,58,2856,2006
Silverzero,74,379,2002
Electrified_Voltage,114,1535,2008
fwomp,150,1716,2007
skybrick736,58,2391,2015
L_Copa,69,1545,2019
Manthorpe,52,422,2004
851222,339,4498,2015
DunnDeeDaGreat,102,2821,2001
Kubris,95,2317,2011
donuthaters12,50,346,2013
Anonymous_Maxine,260,3383,2004
r-48240,78,57,2020
kz917-1,70,1123,2018
Spanner-2,86,6707,2003
fredericksmith1952,51,143,2012
haterofcrap,64,1452,2010
Christian_Dimartino,172,1521,2011
zeekwunlau,172,59,2020
baumer,138,6675,2001
Horst_In_Translation,352,2483,2016
capone666,353,3315,2014
ctowyi,59,1928,2015
raphaklopper,97,220,2013
teh_mode,62,842,2006
mahmus,95,600,2019
jerekra,56,2054,2009
jake-law123,88,2555,2012
anton-6,80,1008,2001
Lewis_Heather787,68,1391,2017
karl_consiglio,50,2550,2006
stevenrotherforth,67,1466,2017
slightlymad22,261,4791,2016
mcsheehey,69,1195,2007
mardalsfossen01,124,615,2018
critic-22,52,446,1999
Atreyu_II,75,1671,2008
gregeichelberger,68,3609,2011
troy-manatunga,68,2969,2012
PipAndSqueak,66,5189,2012
Jo_Blo_Movie_Critic,117,674,2019
Prashast_Singh,68,1637,2018
didi-5,95,4797,2004
MCMAYNERBERRY,93,2878,2008
TOMNEL,151,2891,2007
areatw,230,1512,2017
NateWatchesCoolMovies,126,989,2015
fernandoschiavi,87,1942,2018
jessie-39,51,4341,2005
jfgibson73,109,4041,2014
TheUnknown837-1,153,2893,2009
yasir619,54,751,2018
Terryfan,98,4751,2014
manitobaman81,90,20,2014
arjunflamingfeather,148,2192,2017
Gresh854,64,2014,2017
thewillt08,74,539,2012
drownnnsoda,61,5445,2009
extravaluejotter,53,956,2006
illbebackreviews,125,550,2012
DarthBill,102,3144,2004
AnishMisra,64,757,2017
Galina_movie_fan,122,4912,2007
Alexander_Blanchett,68,1191,2017
FlickJunkie-2,81,1042,2000
Scarecrow-88,87,4736,2011
perfectbond,70,924,2003
The_Orenda,73,2062,2005
cardsrock,61,582,2019
deastman_uk,70,6490,2011
TOMASBBloodhound,83,4989,2007
Cristi_Ciopron,64,2729,2009
Ziya90,110,2931,2011
secondtake,216,3685,2012
ChristianUnchained,67,744,2012
Thrashman88,51,6683,2009
Laakbaar,136,4593,2014
gilgongo1980,136,420,2019
Jithindurden,55,1097,2017
djfrost-46786,77,386,2018
mjw2305,202,5939,2005
poolandrews,128,2959,2007
secretzfan,51,1930,2016
strong-122-478885,129,2438,2014
andrewnmiller,59,1967,2017
cosmo_tiger,217,2323,2013
e-67102-48412,92,63,2020
xredgarnetx,55,879,2006
nicolechan916,93,1041,2015
revival05,78,4274,2002
kenjha,239,2666,2009
Jack the Ripper1888,87,561,2002
carbuff,60,1882,2017
filipemanuelneto,355,1773,2016
FallenEye,86,1243,2016
Red-Barracuda,122,5331,2012
phubbs,78,2161,2014
callanvass,279,5270,2009
K3nzit,136,112,2019
jzappa,234,2901,2008
mikayakatnt,165,215,2019
socrates99,112,5339,2010
m_madhu,67,1330,2001
mattymatt4ever,64,764,2001
Lejink,238,4658,2013
atlasmb,109,2780,2016
stormhawk2020,51,1070,2017
coasterdude44,63,1431,2018
LazySod,114,4384,2008
kevin c,120,7381,2008
estebangonzalez10,323,2739,2012
itamarscomix,102,3103,2010
lastliberal-853-253708,110,1854,2012
FeastMode,342,378,2019
MrGKB,86,4771,2008
caseynicholson,88,1181,2015
JayPatton88,59,1258,2018
Wuchakk,275,3444,2015
beresfordjd,58,4353,2013
jayjaycee,65,281,2019
tgchan,56,2080,2015
chubarova,50,163,2020
Quebec_Dragon,77,2033,2009
luke-a-mcgowan,121,597,2015
asocialis,52,482,2019
arthur_tafero,61,1057,2018
bat-5,95,989,1999
troyputland,90,359,2015
ackstasis,145,1840,2007
nogodnomasters,344,1081,2018
asda-man,91,2759,2012
joshbarton15,51,1300,2017
cosmorados,69,2968,2008
EUyeshima,163,2856,2007
UniqueParticle,173,541,2019
ShelbyTMItchell,131,5381,2013
StonedMagician,60,283,2018
christopher-underwood,71,5508,2015
KeremUlucay,70,484,2018
