username,0
braddugg,Cluster 1
bradeybonnell,Cluster 3
brando647,Cluster 3
brankovranjkovic,Cluster 1
bravesfanc,Cluster 1
brchthethird,Cluster 1
breakdownthatfilm-blogspot-com,Cluster 3
brenttraft,Cluster 1
brett-76260,Cluster 1
brian_r_wright,Cluster 2
brianberta,Cluster 3
bryanbezter,Cluster 1
bryank-04844,Cluster 1
bsinc,Cluster 3
buiger,Cluster 2
burlesonjesse5,Cluster 1
callanvass,Cluster 3
calspers,Cluster 2
capone666,Cluster 1
carbuff,Cluster 3
cardsrock,Cluster 1
carlos37andre,Cluster 1
caseynicholson,Cluster 1
caspian1978,Cluster 2
cat_ranchero,Cluster 1
cdjh-81125,Cluster 1
charchuk,Cluster 3
cherold,Cluster 1
chrichtonsworld,Cluster 1
chrisbrown6453,Cluster 3
christian123,Cluster 2
christophe92300,Cluster 1
christopher-underwood,Cluster 5
christophershobris,Cluster 1
chubarova,Cluster 2
cinematic_aficionado,Cluster 3
cinephile-27690,Cluster 2
ciscokid1970,Cluster 3
classicalsteve,Cluster 1
claudonio,Cluster 2
cleary-joshua,Cluster 1
cliftonofun,Cluster 1
coasterdude44,Cluster 1
colewaters,Cluster 1
colinrgeorge,Cluster 1
colonel_green,Cluster 2
come2whereimfrom,Cluster 1
commandercool88,Cluster 2
coreyjdenford,Cluster 1
cosmo_tiger,Cluster 1
cosmorados,Cluster 2
craig-hopton,Cluster 1
critic-22,Cluster 2
cruise01,Cluster 1
ctowyi,Cluster 1
cultfilmfan,Cluster 1
cultfilmfreaksdotcom,Cluster 1
dallasryan,Cluster 1
danielharden,Cluster 1
dar0417,Cluster 1
datautisticgamer-74853,Cluster 3
datorsiers2,Cluster 1
dave-mcclain,Cluster 1
davideo-2,Cluster 1
davidgee,Cluster 1
davidmvining,Cluster 3
davispittman,Cluster 3
davydteather,Cluster 3
dbborroughs,Cluster 3
dbdumonteil,Cluster 4
dead47548,Cluster 1
deastman_uk,Cluster 1
deatman9,Cluster 3
dee.reid,Cluster 3
deloudelouvain,Cluster 1
denis888,Cluster 3
departed07,Cluster 3
destinylives52,Cluster 1
dfa120374,Cluster 1
dfle3,Cluster 1
dfranzen70,Cluster 1
diac228,Cluster 1
diane-34,Cluster 1
didi-5,Cluster 2
dierregi,Cluster 1
digitalbeachbum,Cluster 1
dilipbts,Cluster 3
dineshaishu,Cluster 3
disdressed12,Cluster 4
dj_xand325,Cluster 2
djfrost-46786,Cluster 3
djurrepower,Cluster 1
dobbin-4,Cluster 3
dockerykelli,Cluster 3
doctorsmoothlove,Cluster 1
domino1003,Cluster 2
donaldricco,Cluster 3
donuthaters12,Cluster 2
doomedmac,Cluster 3
dpolwatte,Cluster 1
dr_foreman,Cluster 2
dragokin,Cluster 1
drawlife,Cluster 1
dromasca,Cluster 1
droog-56936,Cluster 3
drownnnsoda,Cluster 4
drqshadow-reviews,Cluster 3
drystyx,Cluster 4
dunmore_ego,Cluster 3
dvc5159,Cluster 1
dworldeater,Cluster 2
dwpollar,Cluster 3
dy158,Cluster 1
e-67102-48412,Cluster 1
eagandersongil,Cluster 1
eberkerbatur,Cluster 1
ebiros2,Cluster 2
eddie_baggins,Cluster 1
educallejero,Cluster 3
edwagreen,Cluster 1
elcopy,Cluster 2
elicopperman,Cluster 2
elliotjeory,Cluster 3
elshikh4,Cluster 3
emfern13,Cluster 3
eminkl,Cluster 3
emperor_bender,Cluster 2
eric262003,Cluster 1
ericrnolan,Cluster 1
ericstevenson,Cluster 3
ersinkdotcom,Cluster 1
eshwarmail,Cluster 1
esteban1747,Cluster 1
estebangonzalez10,Cluster 1
estreet-eva,Cluster 1
evan_harvey,Cluster 1
extravaluejotter,Cluster 2
f-57307,Cluster 2
fernandoschiavi,Cluster 1
fertilecelluloid,Cluster 1
fil-nik09,Cluster 1
filipemanuelneto,Cluster 4
film_riot,Cluster 2
fjhuerta-2,Cluster 3
fmwongmd,Cluster 1
fntstcplnt,Cluster 1
framptonhollis,Cluster 2
freakfire-1,Cluster 1
freaky_dave,Cluster 3
fredericksmith1952,Cluster 3
freewillyfan,Cluster 1
freshclean-66-318608,Cluster 1
funkyfry,Cluster 4
funtasticfour,Cluster 3
fwomp,Cluster 1
g-96059,Cluster 2
gab-14712,Cluster 2
galahad58-1,Cluster 1
galileo3,Cluster 3
gangstahippie,Cluster 3
garethcrook,Cluster 1
gary-444,Cluster 1
gavin-thelordofthefu-48-460297,Cluster 3
gavinp9,Cluster 1
gazzo-2,Cluster 3
gbheron,Cluster 4
gbill-74877,Cluster 1
gcd70,Cluster 4
gelman@attglobal.net,Cluster 1
generationofswine,Cluster 3
ghost_dog86,Cluster 1
ghostfiendghost,Cluster 3
gigan-92,Cluster 3
gilgongo1980,Cluster 1
gradyharp,Cluster 1
grahamsj3,Cluster 3
gregeichelberger,Cluster 1
gregsrants,Cluster 1
griffolyon12,Cluster 1
grumpy-3,Cluster 1
gsygsy,Cluster 1
gwnightscream,Cluster 3
h-28658,Cluster 3
hall895,Cluster 5
harryplinkett14,Cluster 3
haterofcrap,Cluster 2
headly66,Cluster 1
heisenberg12,Cluster 1
hellraiser7,Cluster 3
helpless_dancer,Cluster 3
hemant_balz,Cluster 2
henry8-3,Cluster 1
hitchcockthelegend,Cluster 4
hnt_dnl,Cluster 3
honorhorror,Cluster 1
howard.schumann,Cluster 1
hoxjennifer,Cluster 3
hu675,Cluster 3
ianlouisiana,Cluster 1
iguth,Cluster 1
illbebackreviews,Cluster 3
ilovedolby,Cluster 2
imseeg,Cluster 1
inkblot11,Cluster 1
insomniac_rod,Cluster 3
intelearts,Cluster 1
invisibleunicornninja,Cluster 3
iohefy-2,Cluster 1
iquine,Cluster 1
ironhorse_iv,Cluster 3
itamarscomix,Cluster 3
ivo-cobra8,Cluster 3
j-lacerra,Cluster 1
ja_kitty_71,Cluster 3
jackasstrange,Cluster 1
jackgdemoss,Cluster 1
jacobjohntaylor1,Cluster 3
jadavix,Cluster 1
jaddison383,Cluster 2
jadepietro,Cluster 1
jaemiewaters,Cluster 1
jake-law123,Cluster 3
jameslinton-75252,Cluster 2
jamesrupert2014,Cluster 1
jamiedarlow-37510,Cluster 3
japamo,Cluster 1
jaredmobarak,Cluster 1
jaredpahl,Cluster 1
jawneyfloros,Cluster 1
jaybob,Cluster 1
jayjaycee,Cluster 2
jb_campo,Cluster 1
jburtroald95,Cluster 1
jcbutthead86,Cluster 2
jdkraus,Cluster 1
jemps918,Cluster 1
jerekra,Cluster 3
jessegehrig,Cluster 3
jessie-39,Cluster 1
jfgibson73,Cluster 1
jhaggardjr,Cluster 2
jhclues,Cluster 5
jimbo-53-186511,Cluster 3
jldmp1,Cluster 2
jluis1984,Cluster 2
joachimokeefe,Cluster 1
joebloggscity,Cluster 1
joelwatchesmovies,Cluster 3
joestank15,Cluster 1
johnmschofield,Cluster 2
johnnyboyz,Cluster 3
johnnymacbest,Cluster 1
johnnymonsarrat,Cluster 3
johnstonjames,Cluster 4
jon.h.ochiai,Cluster 1
jonnyfendi,Cluster 1
jose-cruz53,Cluster 2
josh_lambert1991,Cluster 3
joshbarton15,Cluster 1
joshuadrake-39480,Cluster 3
joshuadrake-91275,Cluster 3
joshuafagan-64214,Cluster 2
jotix100,Cluster 1
jpintar,Cluster 2
jpschapira,Cluster 1
jrarichards,Cluster 1
jtindahouse,Cluster 1
jts0405,Cluster 2
judywalker2,Cluster 1
julian-mumford,Cluster 1
juliankennedy23,Cluster 3
juneebuggy,Cluster 1
justin-fencsak,Cluster 3
justinwfirestone,Cluster 1
jzappa,Cluster 4
kairingler,Cluster 3
kannibalcorpsegrinder,Cluster 3
karl_consiglio,Cluster 2
kdnor2011,Cluster 3
kenandraf,Cluster 5
kenjha,Cluster 4
kermitkid,Cluster 1
ketgup83,Cluster 1
kevin c,Cluster 1
kevin_crighton,Cluster 1
kgprophet,Cluster 1
khanbaliq2,Cluster 3
kirbylee70-599-526179,Cluster 1
kirk-246,Cluster 3
kjproulx,Cluster 1
kluseba,Cluster 1
krational66,Cluster 4
kriscot-48548,Cluster 1
kuangzao,Cluster 1
kunalkhandwala,Cluster 1
kurciasbezdalas,Cluster 4
kyle-cruse,Cluster 2
kylehodgdon,Cluster 2
kz917-1,Cluster 1
l_rawjalaurence,Cluster 1
lagriff05,Cluster 4
lagudafuad,Cluster 3
lambiepie-2,Cluster 4
lark40,Cluster 3
lastliberal,Cluster 5
lastliberal-853-253708,Cluster 1
lasttimeisaw,Cluster 1
ldavis-2,Cluster 1
lediscipledessocrates,Cluster 1
leftbanker-1,Cluster 1
len-21,Cluster 4
leonblackwood,Cluster 1
leplatypus,Cluster 5
lewiskendell,Cluster 1
lisafordeay,Cluster 3
lojitsu,Cluster 1
lotus_chief,Cluster 2
lucasversantvoort,Cluster 1
luke-a-mcgowan,Cluster 3
lukem-52760,Cluster 3
mOVIemAN56,Cluster 3
m_madhu,Cluster 2
ma-cortes,Cluster 4
mahmus,Cluster 3
majikstl,Cluster 2
malkane316,Cluster 2
malmsteneino,Cluster 1
manendra-lodhi,Cluster 3
manitobaman81,Cluster 3
marcus_stokes2000,Cluster 2
mardalsfossen01,Cluster 1
mario_c,Cluster 1
mark.waltz,Cluster 3
markgorman,Cluster 1
marmar-69780,Cluster 3
martinrobertson300482,Cluster 1
masonsaul,Cluster 3
mat-mcnaughton-254-33257,Cluster 1
matej-trkanjec-133-920386,Cluster 1
matlefebvre20,Cluster 2
matthewssilverhammer,Cluster 3
mattkratz,Cluster 1
mattymatt4ever,Cluster 5
maurice_yacowar,Cluster 1
mcsheehey,Cluster 2
meeza,Cluster 1
mentalcritic,Cluster 2
mgd_m,Cluster 1
mgruebel,Cluster 1
mhasheider,Cluster 2
mhorg2018,Cluster 1
michael_the_nermal,Cluster 1
michaelradny,Cluster 1
michaeltrivedi,Cluster 1
midas-jacobs,Cluster 1
miguelneto-74936,Cluster 3
mikayakatnt,Cluster 3
mike48128,Cluster 3
minister_of_silly_walks,Cluster 2
mirosuionitsaki2,Cluster 3
mistoppi,Cluster 3
mitchell5954,Cluster 1
mitsubishizero,Cluster 4
mjneu59,Cluster 2
mjw2305,Cluster 3
mm-39,Cluster 3
mnpollio,Cluster 2
monstermayhem32,Cluster 1
moonspinner55,Cluster 4
morganstephens512,Cluster 1
morrison-dylan-fan,Cluster 1
moutonbear25,Cluster 1
movieguy1021,Cluster 4
moviemanMA,Cluster 1
movieman_kev,Cluster 3
moviemattb,Cluster 2
moviesleuth2,Cluster 3
moviewiz-4,Cluster 3
moviewizguy,Cluster 3
moviexclusive,Cluster 1
mr_bickle_the_pickle,Cluster 1
mr_popcorn,Cluster 3
msbreviews,Cluster 1
mstomaso,Cluster 3
muvi-fan-73,Cluster 1
nairtejas,Cluster 1
nancyldraper,Cluster 1
napierslogs,Cluster 1
natashabowiepinky,Cluster 1
native_girl333,Cluster 2
nicholls905-280-546911,Cluster 3
nicholls_les,Cluster 1
nickmesafilms,Cluster 1
nicolechan916,Cluster 1
nmholland,Cluster 1
nobbytatoes,Cluster 2
nogodnomasters,Cluster 1
noralee,Cluster 4
nycritic,Cluster 2
oOoBarracuda,Cluster 2
ofpsmith,Cluster 1
oneguyrambling,Cluster 3
oneloveall,Cluster 1
onepotato2,Cluster 3
oscaralbert,Cluster 1
osj2507,Cluster 1
ozjeppe,Cluster 2
p-jonsson,Cluster 1
p-stepien,Cluster 1
palavitsinis,Cluster 1
patrick_dunne,Cluster 2
paudie,Cluster 1
paul-allaer,Cluster 1
paul2001sw-1,Cluster 3
paul_haakonsen,Cluster 1
paulclaassen,Cluster 3
pc95,Cluster 1
peefyn,Cluster 1
pennyelenabooks,Cluster 1
pere-25366,Cluster 1
perfectbond,Cluster 2
petarmatic,Cluster 1
peterdeluca-14183,Cluster 1
peterp-450-298716,Cluster 1
petra_ste,Cluster 1
pfgpowell-1,Cluster 1
phd_travel,Cluster 1
philip_vanderveken,Cluster 4
philthegreatone-786-63058,Cluster 1
phubbs,Cluster 3
pinkliz41,Cluster 3
pmtelefon,Cluster 3
poe426,Cluster 3
pokemon_trainer_lucas,Cluster 1
policy134,Cluster 4
poolandrews,Cluster 3
popculturethoughts,Cluster 3
powermandan,Cluster 3
preppy-3,Cluster 3
proud_luddite,Cluster 1
ptb-8,Cluster 3
punchp,Cluster 1
pyrocitor,Cluster 1
questl-18592,Cluster 3
quincytheodore,Cluster 1
quinimdb,Cluster 1
quinnox-1,Cluster 1
r-48240,Cluster 2
r96sk,Cluster 3
rachelrose-87356,Cluster 3
rainking_es,Cluster 4
rajatdahiyax,Cluster 1
rajdoctor,Cluster 1
rannynm,Cluster 1
raphaklopper,Cluster 2
raulfaust,Cluster 3
raypdaley182,Cluster 3
