username,0
fertilecelluloid,Cluster 3
fil-nik09,Cluster 1
filipemanuelneto,Cluster 3
film_riot,Cluster 3
fjhuerta-2,Cluster 3
fmwongmd,Cluster 1
fntstcplnt,Cluster 1
framptonhollis,Cluster 3
freakfire-1,Cluster 3
freaky_dave,Cluster 3
fredericksmith1952,Cluster 3
freewillyfan,Cluster 3
freshclean-66-318608,Cluster 1
funkyfry,Cluster 3
funtasticfour,Cluster 1
fwomp,Cluster 3
g-96059,Cluster 3
gab-14712,Cluster 3
galahad58-1,Cluster 3
galileo3,Cluster 3
gangstahippie,Cluster 3
garethcrook,Cluster 1
gary-444,Cluster 3
gavin-thelordofthefu-48-460297,Cluster 3
gavinp9,Cluster 1
gazzo-2,Cluster 3
gbheron,Cluster 3
gbill-74877,Cluster 1
gcd70,Cluster 3
gelman@attglobal.net,Cluster 3
generationofswine,Cluster 3
ghost_dog86,Cluster 1
ghostfiendghost,Cluster 3
gigan-92,Cluster 3
gilgongo1980,Cluster 3
gradyharp,Cluster 1
grahamsj3,Cluster 3
gregeichelberger,Cluster 3
gregsrants,Cluster 3
griffolyon12,Cluster 1
grumpy-3,Cluster 3
gsygsy,Cluster 1
gwnightscream,Cluster 3
h-28658,Cluster 3
hall895,Cluster 3
harryplinkett14,Cluster 3
haterofcrap,Cluster 3
headly66,Cluster 1
heisenberg12,Cluster 1
hellraiser7,Cluster 3
helpless_dancer,Cluster 3
hemant_balz,Cluster 3
henry8-3,Cluster 1
hitchcockthelegend,Cluster 3
hnt_dnl,Cluster 3
honorhorror,Cluster 3
howard.schumann,Cluster 1
hoxjennifer,Cluster 1
hu675,Cluster 3
ianlouisiana,Cluster 3
iguth,Cluster 3
illbebackreviews,Cluster 3
ilovedolby,Cluster 3
imseeg,Cluster 1
inkblot11,Cluster 2
insomniac_rod,Cluster 3
intelearts,Cluster 3
invisibleunicornninja,Cluster 3
iohefy-2,Cluster 3
iquine,Cluster 1
ironhorse_iv,Cluster 1
itamarscomix,Cluster 3
ivo-cobra8,Cluster 3
j-lacerra,Cluster 3
ja_kitty_71,Cluster 3
jackasstrange,Cluster 3
jackgdemoss,Cluster 1
jacobjohntaylor1,Cluster 3
jadavix,Cluster 1
jaddison383,Cluster 3
jadepietro,Cluster 1
jaemiewaters,Cluster 3
jake-law123,Cluster 3
jameslinton-75252,Cluster 3
jamesrupert2014,Cluster 1
jamiedarlow-37510,Cluster 3
japamo,Cluster 3
jaredmobarak,Cluster 3
jaredpahl,Cluster 3
jawneyfloros,Cluster 1
jaybob,Cluster 3
jayjaycee,Cluster 3
jb_campo,Cluster 1
jburtroald95,Cluster 3
jcbutthead86,Cluster 3
jdkraus,Cluster 3
jemps918,Cluster 3
jerekra,Cluster 3
jessegehrig,Cluster 3
jessie-39,Cluster 3
jfgibson73,Cluster 3
jhaggardjr,Cluster 3
jhclues,Cluster 3
jimbo-53-186511,Cluster 1
jldmp1,Cluster 3
jluis1984,Cluster 3
joachimokeefe,Cluster 1
joebloggscity,Cluster 1
joelwatchesmovies,Cluster 1
joestank15,Cluster 3
johnmschofield,Cluster 3
johnnyboyz,Cluster 3
johnnymacbest,Cluster 3
johnnymonsarrat,Cluster 3
johnstonjames,Cluster 3
jon.h.ochiai,Cluster 3
jonnyfendi,Cluster 3
jose-cruz53,Cluster 3
josh_lambert1991,Cluster 3
joshbarton15,Cluster 1
joshuadrake-39480,Cluster 3
joshuadrake-91275,Cluster 3
joshuafagan-64214,Cluster 3
jotix100,Cluster 3
jpintar,Cluster 3
jpschapira,Cluster 3
jrarichards,Cluster 1
jtindahouse,Cluster 1
jts0405,Cluster 3
judywalker2,Cluster 3
julian-mumford,Cluster 3
juliankennedy23,Cluster 3
juneebuggy,Cluster 1
justin-fencsak,Cluster 3
justinwfirestone,Cluster 1
jzappa,Cluster 3
kairingler,Cluster 3
kannibalcorpsegrinder,Cluster 3
karl_consiglio,Cluster 3
kdnor2011,Cluster 3
kenandraf,Cluster 3
kenjha,Cluster 3
kermitkid,Cluster 1
ketgup83,Cluster 1
kevin c,Cluster 1
kevin_crighton,Cluster 3
kgprophet,Cluster 3
khanbaliq2,Cluster 3
kirbylee70-599-526179,Cluster 1
kirk-246,Cluster 3
kjproulx,Cluster 1
kluseba,Cluster 1
krational66,Cluster 3
kriscot-48548,Cluster 3
kuangzao,Cluster 3
kunalkhandwala,Cluster 3
kurciasbezdalas,Cluster 3
kyle-cruse,Cluster 3
kylehodgdon,Cluster 3
kz917-1,Cluster 1
l_rawjalaurence,Cluster 1
lagriff05,Cluster 3
lagudafuad,Cluster 3
lambiepie-2,Cluster 3
lark40,Cluster 3
lastliberal,Cluster 3
lastliberal-853-253708,Cluster 3
lasttimeisaw,Cluster 1
ldavis-2,Cluster 3
lediscipledessocrates,Cluster 1
leftbanker-1,Cluster 1
len-21,Cluster 3
leonblackwood,Cluster 1
leplatypus,Cluster 3
lewiskendell,Cluster 3
lisafordeay,Cluster 2
lojitsu,Cluster 1
lotus_chief,Cluster 3
lucasversantvoort,Cluster 1
luke-a-mcgowan,Cluster 2
lukem-52760,Cluster 3
mOVIemAN56,Cluster 3
m_madhu,Cluster 3
ma-cortes,Cluster 3
mahmus,Cluster 1
majikstl,Cluster 3
malkane316,Cluster 3
malmsteneino,Cluster 3
manendra-lodhi,Cluster 3
manitobaman81,Cluster 3
marcus_stokes2000,Cluster 3
mardalsfossen01,Cluster 3
mario_c,Cluster 3
mark.waltz,Cluster 3
markgorman,Cluster 1
marmar-69780,Cluster 3
martinrobertson300482,Cluster 1
masonsaul,Cluster 1
mat-mcnaughton-254-33257,Cluster 3
matej-trkanjec-133-920386,Cluster 3
matlefebvre20,Cluster 3
matthewssilverhammer,Cluster 1
mattkratz,Cluster 2
mattymatt4ever,Cluster 3
maurice_yacowar,Cluster 1
mcsheehey,Cluster 3
meeza,Cluster 1
mentalcritic,Cluster 3
mgd_m,Cluster 1
mgruebel,Cluster 3
mhasheider,Cluster 3
mhorg2018,Cluster 1
michael_the_nermal,Cluster 3
michaelradny,Cluster 1
michaeltrivedi,Cluster 1
midas-jacobs,Cluster 1
miguelneto-74936,Cluster 3
mikayakatnt,Cluster 3
mike48128,Cluster 3
minister_of_silly_walks,Cluster 3
mirosuionitsaki2,Cluster 3
mistoppi,Cluster 3
mitchell5954,Cluster 3
mitsubishizero,Cluster 3
mjneu59,Cluster 3
mjw2305,Cluster 3
mm-39,Cluster 3
mnpollio,Cluster 3
monstermayhem32,Cluster 1
moonspinner55,Cluster 3
morganstephens512,Cluster 3
morrison-dylan-fan,Cluster 3
moutonbear25,Cluster 3
movieguy1021,Cluster 3
moviemanMA,Cluster 3
movieman_kev,Cluster 3
moviemattb,Cluster 3
moviesleuth2,Cluster 3
moviewiz-4,Cluster 3
moviewizguy,Cluster 3
moviexclusive,Cluster 1
mr_bickle_the_pickle,Cluster 1
mr_popcorn,Cluster 3
msbreviews,Cluster 1
mstomaso,Cluster 3
muvi-fan-73,Cluster 1
nairtejas,Cluster 1
nancyldraper,Cluster 1
napierslogs,Cluster 1
natashabowiepinky,Cluster 3
native_girl333,Cluster 3
nicholls905-280-546911,Cluster 3
nicholls_les,Cluster 1
nickmesafilms,Cluster 3
nicolechan916,Cluster 1
nmholland,Cluster 2
nobbytatoes,Cluster 3
nogodnomasters,Cluster 1
noralee,Cluster 3
nycritic,Cluster 3
oOoBarracuda,Cluster 3
ofpsmith,Cluster 3
oneguyrambling,Cluster 3
oneloveall,Cluster 3
onepotato2,Cluster 3
oscaralbert,Cluster 1
osj2507,Cluster 3
ozjeppe,Cluster 3
p-jonsson,Cluster 3
p-stepien,Cluster 3
palavitsinis,Cluster 1
patrick_dunne,Cluster 3
paudie,Cluster 3
paul-allaer,Cluster 1
paul2001sw-1,Cluster 3
paul_haakonsen,Cluster 3
paulclaassen,Cluster 1
pc95,Cluster 1
peefyn,Cluster 1
pennyelenabooks,Cluster 1
pere-25366,Cluster 1
perfectbond,Cluster 3
petarmatic,Cluster 1
peterdeluca-14183,Cluster 1
peterp-450-298716,Cluster 1
petra_ste,Cluster 2
pfgpowell-1,Cluster 3
phd_travel,Cluster 1
philip_vanderveken,Cluster 3
philthegreatone-786-63058,Cluster 1
phubbs,Cluster 3
pinkliz41,Cluster 3
pmtelefon,Cluster 3
poe426,Cluster 3
pokemon_trainer_lucas,Cluster 3
policy134,Cluster 3
poolandrews,Cluster 3
popculturethoughts,Cluster 3
powermandan,Cluster 3
preppy-3,Cluster 3
proud_luddite,Cluster 1
ptb-8,Cluster 3
punchp,Cluster 1
pyrocitor,Cluster 3
questl-18592,Cluster 2
quincytheodore,Cluster 1
quinimdb,Cluster 1
quinnox-1,Cluster 3
r-48240,Cluster 3
r96sk,Cluster 1
rachelrose-87356,Cluster 3
rainking_es,Cluster 3
rajatdahiyax,Cluster 3
rajdoctor,Cluster 3
rannynm,Cluster 1
raphaklopper,Cluster 3
raulfaust,Cluster 1
raypdaley182,Cluster 3
